  27  13 5.08+05 2.59-01 4.07-01 7.22-01 1.08+00 1.56+00 2.40+00 3.17+00 4.03+00
  29  13 1.78+03 3.01-02 4.23-02 6.30-02 7.83-02 9.10-02 1.03-01 1.10-01 1.14-01
  31  13 7.51+04 7.14-02 9.74-02 1.38-01 1.64-01 1.83-01 2.09-01 2.36-01 2.77-01
  32  13 6.29+04 3.87-02 5.84-02 1.00-01 1.44-01 2.00-01 2.91-01 3.72-01 4.60-01
  33  13 1.74+04 2.14-02 3.13-02 5.05-02 6.83-02 8.77-02 1.15-01 1.35-01 1.56-01
  34  13 4.47+04 5.66-02 8.32-02 1.36-01 1.87-01 2.44-01 3.27-01 3.94-01 4.62-01
  35  13 5.96+00 1.26-03 1.72-03 2.47-03 2.95-03 3.28-03 3.54-03 3.63-03 3.68-03
  44  13 1.33+01 2.07-01 2.93-01 4.48-01 5.70-01 6.75-01 7.74-01 8.21-01 8.50-01
  45  13 1.17+03 2.12-01 2.99-01 4.56-01 5.77-01 6.78-01 7.71-01 8.13-01 8.37-01
  46  13 7.50+03 2.84+00 4.03+00 6.20+00 7.93+00 9.44+00 1.09+01 1.16+01 1.21+01
  51  13 1.12+04 3.05-02 4.43-02 7.18-02 9.65-02 1.21-01 1.51-01 1.69-01 1.83-01
  14   2 3.38+06 6.92-01 1.05+00 1.85+00 2.75+00 3.95+00 6.06+00 8.05+00 1.03+01
  14   3 1.81+06 2.58-01 3.92-01 6.88-01 1.02+00 1.46+00 2.23+00 2.96+00 3.77+00
  14   4 3.89+07 2.44+00 3.70+00 6.44+00 9.44+00 1.34+01 2.02+01 2.65+01 3.36+01
  14   5 1.94+07 4.66+00 7.07+00 1.22+01 1.77+01 2.49+01 3.72+01 4.84+01 6.10+01
  16  14 9.86+05 1.65+00 2.45+00 3.90+00 5.30+00 6.99+00 9.62+00 1.19+01 1.43+01
  17  14 3.38+05 1.51+00 2.25+00 3.60+00 4.93+00 6.53+00 9.04+00 1.12+01 1.35+01
  18  14 8.27+04 5.81-01 8.63-01 1.37+00 1.86+00 2.45+00 3.36+00 4.13+00 4.96+00
  21  14 5.01+02 2.13-03 3.21-03 5.24-03 7.29-03 9.82-03 1.39-02 1.74-02 2.11-02
  23  14 7.91+05 1.21+00 1.85+00 3.09+00 4.39+00 6.03+00 8.70+00 1.11+01 1.36+01
  24  14 9.47+03 1.93-02 2.95-02 4.99-02 7.15-02 9.90-02 1.45-01 1.85-01 2.29-01
  26  14 1.54+07 2.87+01 4.41+01 7.50+01 1.08+02 1.50+02 2.20+02 2.82+02 3.50+02
  27  14 6.68+06 3.97+00 6.19+00 1.09+01 1.61+01 2.31+01 3.50+01 4.59+01 5.80+01
  28  14 7.22+03 4.84-02 6.76-02 9.91-02 1.21-01 1.37-01 1.51-01 1.56-01 1.59-01
  29  14 2.84+04 1.09-01 1.56-01 2.41-01 3.09-01 3.74-01 4.47-01 4.92-01 5.31-01
  31  14 1.80+05 6.91-02 1.05-01 1.83-01 2.69-01 3.79-01 5.66-01 7.34-01 9.20-01
  33  14 6.67+01 1.09-06 1.84-06 4.62-06 1.03-05 2.24-05 5.34-05 9.04-05 1.39-04
  35  14 1.06+05 2.10-02 2.82-02 3.95-02 4.71-02 5.47-02 7.11-02 9.30-02 1.25-01
  44  14 4.88+00 9.72-04 1.37-03 2.08-03 2.63-03 3.09-03 3.50-03 3.69-03 3.80-03
  45  14 1.25+04 1.69+00 2.40+00 3.69+00 4.71+00 5.59+00 6.47+00 6.90+00 7.18+00
  51  14 8.35+05 4.92-01 7.19-01 1.18+00 1.62+00 2.11+00 2.76+00 3.25+00 3.71+00
  15   3 1.23+06 9.11-02 1.39-01 2.52-01 3.84-01 5.68-01 9.02-01 1.22+00 1.59+00
  15   5 1.81+07 2.26+00 3.44+00 6.07+00 9.04+00 1.31+01 2.01+01 2.68+01 3.44+01
  17  15 1.90+03 4.88-02 6.97-02 1.03-01 1.33-01 1.66-01 2.14-01 2.53-01 2.93-01
  23  15 9.38+04 3.97-01 6.00-01 9.83-01 1.38+00 1.86+00 2.64+00 3.31+00 4.03+00
  27  15 7.21+06 1.20+01 1.84+01 3.10+01 4.43+01 6.13+01 8.91+01 1.14+02 1.40+02
  29  15 3.71+04 6.62-03 1.07-02 2.05-02 3.26-02 5.01-02 8.24-02 1.13-01 1.49-01
  35  15 3.40+05 1.29-01 1.94-01 3.29-01 4.71-01 6.48-01 9.35-01 1.19+00 1.46+00
  51  15 1.42+06 1.33+00 1.94+00 3.11+00 4.18+00 5.31+00 6.84+00 7.97+00 9.05+00
  36   2 1.91+02 8.45-07 1.41-06 3.88-06 1.11-05 2.94-05 7.56-05 1.19-04 1.56-04
  36   3 3.33+03 1.06-05 1.81-05 5.09-05 1.44-04 3.74-04 9.41-04 1.46-03 1.91-03
  36   4 1.48+04 2.13-05 3.77-05 1.09-04 3.03-04 7.68-04 1.87-03 2.87-03 3.72-03
  36   5 7.33+02 4.24-06 7.83-06 2.32-05 6.38-05 1.58-04 3.75-04 5.66-04 7.29-04
  36  16 2.80+07 3.15+00 5.50+00 1.15+01 1.93+01 3.08+01 5.20+01 7.22+01 9.51+01
  36  17 8.25+06 2.95+00 5.15+00 1.07+01 1.80+01 2.87+01 4.84+01 6.70+01 8.83+01
  36  18 4.74+05 3.19-01 5.56-01 1.16+00 1.94+00 3.08+00 5.17+00 7.15+00 9.40+00
  36  21 1.90+05 1.62-01 2.83-01 5.92-01 9.94-01 1.58+00 2.65+00 3.66+00 4.80+00
  36  23 8.56+05 7.20-01 1.25+00 2.54+00 4.19+00 6.54+00 1.08+01 1.47+01 1.91+01
  36  24 2.35+04 4.82-02 8.14-02 1.60-01 2.57-01 3.92-01 6.30-01 8.48-01 1.09+00
  36  26 6.36+04 1.23-01 2.13-01 4.31-01 7.05-01 1.09+00 1.77+00 2.40+00 3.10+00
  36  27 5.19+04 1.30-01 2.23-01 4.42-01 7.06-01 1.07+00 1.69+00 2.25+00 2.87+00
  36  28 5.26+05 1.96+02 2.72+02 4.01+02 5.18+02 6.49+02 8.36+02 9.85+02 1.14+03
  36  29 1.29+05 1.98+02 2.73+02 3.97+02 5.08+02 6.31+02 8.06+02 9.46+02 1.09+03
  36  31 5.05+03 2.29+01 3.09+01 4.39+01 5.53+01 6.77+01 8.53+01 9.93+01 1.14+02
  36  33 9.07+02 1.27+01 1.66+01 2.26+01 2.77+01 3.31+01 4.08+01 4.67+01 5.29+01
  36  35 7.97+00 4.43+01 5.14+01 6.09+01 6.80+01 7.53+01 8.50+01 9.24+01 9.98+01
  44  36 3.27+00 3.26-01 4.06-01 5.23-01 6.19-01 7.19-01 8.55-01 9.61-01 1.07+00
  45  36 2.25+01 1.50+00 1.89+00 2.45+00 2.92+00 3.41+00 4.08+00 4.60+00 5.14+00
  51  36 4.35+02 2.29-01 3.34-01 5.19-01 6.93-01 8.91-01 1.18+00 1.41+00 1.66+00
  37   2 1.75+03 7.72-06 1.29-05 3.53-05 1.01-04 2.67-04 6.86-04 1.08-03 1.42-03
  37   3 2.25+03 7.68-06 1.76-05 6.10-05 1.78-04 4.61-04 1.15-03 1.78-03 2.33-03
  37   5 7.58+03 4.67-05 6.49-05 1.32-04 3.07-04 7.21-04 1.69-03 2.53-03 3.23-03
  37  17 1.30+07 4.60+00 8.04+00 1.68+01 2.82+01 4.50+01 7.59+01 1.05+02 1.39+02
  37  18 4.31+06 2.90+00 5.06+00 1.05+01 1.76+01 2.79+01 4.70+01 6.50+01 8.54+01
